# MCP registry probability sample, behavioral tier, probed 2026-08-22
# seed=20260819 n=400 frameCount=7258 frameSnapshot=2026-08-22T02:06:22.994Z
# frameSha256=78b5a0a79ddbc576dbf784f269b1e75a1806bb7d2c5fb95b9961a0966253e1f9
# draw:      node draw-sample.mjs --frame benchmark/candidates-registry.json --seed 20260819 --n 400
# probe:     node probe-sample.mjs --sample sample.json --probe-root <mcp-probe> --out results/
# aggregate: node aggregate-sample.mjs --in results/ --sample sample.json
# st: I=included X=excluded | rsn: hs=handshake-failed cred=needs-credentials na=package-unavailable
# ann: A=annotates all tools  N=annotates none  P=partial  -=no tools | miss=tools lacking annotations
# Row order is the draw order, which is part of the sample.
pkg	ver	st	rsn	tools	ann	miss
@codespar/mcp-zenvia	0.2.2	I		18	N	18
clawpipe-mcp-server	3.2.0	I		12	N	12
@inbin/mcp	0.2.0	X	hs	0	-	0
glm-mcp	1.3.0	I		3	A	0
quantum-suitability-validator-mcp	1.0.20	X	hs	0	-	0
@smartergpt/axf	1.1.0	X	hs	0	-	0
@qcqx/project-manage-mcp	1.0.0	I		9	N	9
consentgate-mcp	0.1.1	I		2	A	0
mcp-roadmapsh	0.2.0	I		16	N	16
krs-poland-mcp-server	1.0.11	I		2	A	0
@pharmatools/pubcrawl	2.5.0	X	hs	0	-	0
@routescore/mcp	0.3.5	X	cred	0	-	0
abap-mcp	0.4.4	X	hs	0	-	0
@omniology/mcp-server	2.3.4	X	hs	0	-	0
@automatelab/citation-intelligence	0.12.0	X	hs	0	-	0
@spanlens/mcp-server	0.2.1	X	cred	0	-	0
lotor-mcp	1.0.2	X	hs	0	-	0
@r16t/multimodal-mcp	1.3.1	I		6	N	6
mcp-nervous-system	1.12.1	I		12	N	12
infinitecampus-mcp	2.4.5	I		0	-	0
dnd-oracle	0.1.0	I		20	N	20
@torknetwork/mcp-server	1.5.1	I		49	N	49
@ainecto/mcp	0.1.2	X	hs	0	-	0
@cyanheads/pubmed-mcp-server	2.10.4	X	hs	0	-	0
@microsoft/esrp-release-test-integration	26.226.151853	X	hs	0	-	0
@unclick/hackernews-mcp	0.1.0	I		7	N	7
@gaforov/selenium-mcp	0.2.1	I		39	N	39
altmetric-mcp	1.1.2	X	cred	0	-	0
@prismatic-io/prism-mcp	1.5.0	X	hs	0	-	0
kadenzo-mcp	1.3.1	I		23	N	23
@rajsir/mcp-server-terraform	0.2.1	I		11	N	11
agent-guards	0.3.0	I		31	N	31
diffgate-review	0.8.0	X	hs	0	-	0
@forgemeshlabs/x402-ads-mcp	0.1.4	X	hs	0	-	0
weavatrix-git	0.3.1	I		5	N	5
@1pass/mcp	0.2.2	I		15	N	15
sitelauncher-mcp-server	1.0.1	X	hs	0	-	0
bookmarks-mcp	0.1.0	I		8	A	0
web-tools-mcp	1.3.0	I		10	N	10
